カテゴリ,項目,詳細,重要度,対象,関連する課題
Good,コミュニケーション,教育プランナーが父にも子供にも話し掛け・目線を合わせた,高,親子,信頼構築
Good,心理的配慮,褒めるだけでなく共感を重視,高,生徒,ラポール形成
Good,ニーズ把握,生徒のネック（怒られるのが怖い）を抽出し潰せた,高,生徒,学習ブロック除去
Good,共感スキル,自分の経験を話した（間接共感）,中,生徒,信頼構築
Good,権威性・専門性,大学名での権威性が刺さった,高,親子,納得感・信頼
Good,安心感提供,全体フロー説明で進め方の見通しを立てた,高,親子,不安軽減
Good,親和性,自己紹介で「恥ずかしくない」という寄り添いを示した,中,生徒,リラックス効果
Good,深掘りスキル,好きなことを起点に話を展開した,中,生徒,興味・動機づけ
Good,定量的説明,定量データ（テスト成績80-90 vs 50-60）を提示,高,親子,客観的納得感
Good,ヒアリング,お子さん/親御さんのどちらが主導で探しているか確認,高,親子,提案方向の最適化
Good,時間活用,勉強時間の使い方を早期に話題化,中,生徒,実行性確保
More,アイスブレイク,いきなり終わらせるのはもったいない（もっと拡げる余地あり）,中,生徒,ラポール深化
More,グループ面談の環境設定,1:2設定で受験生だと質問しづらい潰し感が出ていた,中,生徒,心理的安全性
More,目標設定,目標を教育プランナーと過程で合わせられなかった,高,親子,納得感・方向性
More,勉強内容の深掘り,毎回勉強について深掘りが不足,高,生徒,学習課題の本質把握
More,価値訴求の配置,1:1の価値訴求を3-4箇所で入れられると良い,中,親子,説得力・納得
More,質問形式,ADHD傾向の子にはOpen Question苦手→Yes/No質問が有効,高,生徒,回答容易性
More,深堀りの浅さ,好きなことが表層的（ドッジボール→避けるのが得意 止まり）,中,生徒,深層心理・本質理解
More,非言語コミュニケーション,笑顔が前回より減った（フラットになった）,中,生徒,親和性・ラポール
More,説得フロー,1課題に1トライの良さをすぐぶつけるのはきつい→もっと頷いてから最後に,高,親子,納得感・段階性
More,聴くべき深さ,この状態でプランニング行くと納得感がない→もっと聴くべき,高,生徒,本当の課題解決
More,深層心理への到達,字が汚い→途中式が書けない など深層原因を掘り下げる必要,高,生徒,根本的な学習課題把握
More,比較分析,他にできている科目がなぜできているのか、苦手科目では何ができていないか,高,生徒,強み活用・弱点把握
More,課題回避パターン,難しい課題から逃げている傾向（ADHD傾向）を早期把握,高,生徒,学習習慣形成の課題
